CRASH_RECORD_ID,CRASH_DATE,WEATHER_CONDITION,LIGHTING_CONDITION,ROADWAY_SURFACE_COND,REPORT_TYPE,DATE_POLICE_NOTIFIED,LATITUDE,LONGITUDE,LOCATION,Crash_Type
2eca5f48b2592e84873025743f2a2ff0b12535dc36f40baa3b5e70808cab1c69988d580705f102c48cf1cfffc3880b265116c87ac056961f16428e15ddad5c99,09/05/2023 12:00:00 AM,CLEAR,"DARKNESS, LIGHTED ROAD",DRY,NOT ON SCENE (DESK REPORT),09/05/2023 01:00:00 PM,41.710406145,-87.66940429,POINT (-87.669404290019 41.710406144968),C
a2461bc74c8e7aa9dabe9764385789275f24a3c2677a3adc31eddb6e12db199fe3b95cb7750983c219d0ba8ebd03feccbe5c664dc7dd05e935cdda8b25169013,08/17/2023 02:20:00 PM,CLEAR,DAYLIGHT,DRY,NOT ON SCENE (DESK REPORT),08/17/2023 04:25:00 PM,41.8820229,-87.637081412,POINT (-87.637081411989 41.88202289998),C
47c8ac55258ca3b5e22f6688d5f2985a13a52e04b1e3543732c46f7e9a792a39f555f0a98ed80fab9379397fed6713ccbe3597c55bdd49a70d3e4289171371c0,08/17/2023 01:30:00 PM,CLEAR,DAYLIGHT,DRY,NOT ON SCENE (DESK REPORT),08/17/2023 01:40:00 PM,41.995579197,-87.675876884,POINT (-87.675876883986 41.995579196996),C
8ba905a8c0379f45b3587319d76c5783bab60cae45a1da8f9f8ac1a54f7891d0550c9c34aaeb573ad4e93779f49c4f6669190826f781b332ad0306988dc472a6,08/17/2023 08:34:00 AM,CLEAR,DAYLIGHT,DRY,NOT ON SCENE (DESK REPORT),08/17/2023 10:17:00 AM,41.910217645,-87.68681776,POINT (-87.686817760033 41.91021764504),C
742ff00a2748b244e82dae188df8dea99f211a4bbd617fe50a1ee449c4979ca99694eab3f3016228eb3a64a419f32b36c48c9d3c56b7cac84a30dd2d5c6832e6,08/23/2023 08:30:00 AM,CLEAR,DAYLIGHT,DRY,ON SCENE,08/23/2023 08:31:00 AM,41.74579217,-87.635369997,POINT (-87.63536999702 41.745792169991),C
7c19c8e187e343da0ee4c936edea8d8172c832b063de76b22bbbe7cf9da63308f756afedb5bf2b035e5a4e43eeedcf9c5aa8ca4972f1842d30ce053a5d04e179,08/23/2023 09:45:00 AM,CLEAR,DAYLIGHT,DRY,NOT ON SCENE (DESK REPORT),08/23/2023 10:10:00 AM,41.99002598,-87.748472978,POINT (-87.74847297795 41.990025979963),C
0f62a922e97124e59ac51467f05a785d217a7ca78036d888294f174d7affed0819f96ec246fd03e1acc140e857d62d19504353376ea7b8cacc7e974795f42895,08/03/2023 03:49:00 PM,CLEAR,DAYLIGHT,DRY,NOT ON SCENE (DESK REPORT),08/03/2023 08:30:00 PM,41.785387445,-87.606183761,POINT (-87.606183761008 41.785387444959),C
33f8abbece68d0805e0a38cec62a5f85da7b63b93fcf59fce07b708ef80b8d5c5c5afd44dd7e23c70ec6290513d863f47d7b5ba7123695523c669a03f7fe1a0c,08/03/2023 06:58:00 PM,CLEAR,DAYLIGHT,DRY,NOT ON SCENE (DESK REPORT),08/03/2023 07:00:00 PM,41.860260262,-87.623841742,POINT (-87.623841742029 41.860260261961),C
4125c3705c5c0006e5d71312fecaa2347e774431aed8f56974adc9b7d136c6b6c59672755ae80f9466877c5187a91c4e4bc5ab6bb1d7c4fe67061e6f27e1f2b4,08/03/2023 07:35:00 PM,CLEAR,DAWN,DRY,NOT ON SCENE (DESK REPORT),08/03/2023 08:35:00 PM,41.93207393,-87.738185836,POINT (-87.738185835998 41.932073929955),C
677b1bc4a0b15a056f961d15835b28197fc89f747d29d8f695b7b55a371e572a1c961d1306d4ec14602648635e7af492a04dbda158f43b2b12ea205728189680,08/03/2023 05:30:00 AM,CLEAR,DAYLIGHT,DRY,NOT ON SCENE (DESK REPORT),08/08/2023 05:00:00 PM,41.762483498,-87.590758369,POINT (-87.590758369007 41.762483498011),C
cbc67e09fef823a1ca2a1c050aa5046cf72d8efb2d4a0bf6c9edf78ce300d0aaadc4e76616de8d1c3123730d979195fb3d81047bc52f1081ba1c0f2dc6501064,08/03/2023 05:20:00 AM,CLEAR,DAWN,DRY,ON SCENE,08/03/2023 05:37:00 AM,41.973293497,-87.80691304,POINT (-87.806913039966 41.973293497011),C
a6e04efdf720adb6366d2a2ea38d67fa02e89016799a72a78706bb774a2724ff7b5b43759aa43104cb20a7d4c18b876fb7973a2bc299f8e62575e68f6aecc06a,09/15/2023 07:45:00 AM,CLEAR,DAYLIGHT,DRY,NOT ON SCENE (DESK REPORT),09/15/2023 08:25:00 AM,41.744151639,-87.585945067,POINT (-87.585945066953 41.744151639042),C
204bb0b8332ce02a3bb6752c8062dec651492672109b8e9d2e9e15ea8b7e51ccf34a65c808aa7b4bb6068fca059afeeb4c54f053b29333e9e81bc81c964bb91c,09/15/2023 09:45:00 PM,CLEAR,"DARKNESS, LIGHTED ROAD",DRY,NOT ON SCENE (DESK REPORT),09/15/2023 10:00:00 PM,41.884600962,-87.627828521,POINT (-87.627828520965 41.884600961961),C
e43349333c09539e435a8b27792c15b09d7de4ae11c132fbfc6dd30f7aa5103f82c051c2fe9cfa41072938e692087ae9c3ab91d5f895087369ce6b44e52bd0a0,09/09/2023 05:00:00 PM,UNKNOWN,UNKNOWN,UNKNOWN,NOT ON SCENE (DESK REPORT),09/10/2023 02:20:00 PM,41.90052616,-87.712682588,POINT (-87.712682587959 41.900526159988),C
3b532fe77591c2813046300dedcbeda3598fa7eb615d4b5aef3d073637b70ec612006796786acac06e27176233f2286430c034d0fc14489d8e0cf4dd23b5b9f3,10/10/2023 03:00:00 PM,CLEAR,DAYLIGHT,DRY,ON SCENE,10/10/2023 03:50:00 PM,41.744151639,-87.585945067,POINT (-87.585945066953 41.744151639042),C
